County,County Value**,Error Margin,AIAN,Asian,Black,Hispanic,White
Ohio,"$65,800","$65,100 to $66,500",,,,,
Adams,"$49,100","$42,100 to $56,000",,92500,54500,,46600
Allen,"$60,400","$55,500 to $65,200",,,41500,53000,61800
Ashland,"$62,000","$55,000 to $69,100",,,56300,42800,63600
Ashtabula,"$52,500","$49,200 to $55,700",,104000,29200,39200,55900
Athens,"$48,300","$42,800 to $53,800",,,38500,92100,49500
Auglaize,"$71,700","$66,000 to $77,300",71300,89000,,62800,75700
Belmont,"$55,600","$50,400 to $60,700",,112900,50900,60000,57300
Brown,"$64,000","$57,000 to $71,100",,,50300,,67800
Butler,"$74,800","$71,300 to $78,300",,89600,59000,57400,81000
Carroll,"$62,500","$55,700 to $69,200",,,39200,,60500
Champaign,"$72,800","$65,600 to $79,900",,,47300,82500,70500
Clark,"$57,300","$52,800 to $61,700",10700,,34000,57300,62400
Clermont,"$79,500","$73,100 to $85,900",,107200,65900,64300,79700
Clinton,"$65,900","$57,800 to $74,100",,,,63300,65400
Columbiana,"$54,200","$49,500 to $58,800",116400,,,37300,56900
Coshocton,"$50,700","$44,400 to $57,100",,,,90400,52200
Crawford,"$55,900","$50,200 to $61,600",,,,,
Cuyahoga,"$60,800","$59,100 to $62,500",32200,86300,37200,45900,75200
Darke,"$65,600","$58,600 to $72,700",61000,,53400,53100,61100
Defiance,"$63,900","$56,200 to $71,600",,,,68300,70300
Delaware,"$121,500","$113,200 to $129,900",,152900,106600,84300,123100
Erie,"$67,900","$61,800 to $74,100",56700,,37100,67400,69900
Fairfield,"$82,400","$77,300 to $87,600",,87500,84100,42400,84200
Fayette,"$56,900","$49,200 to $64,600",,,40800,41100,57600
Franklin,"$69,800","$67,600 to $71,900",45500,84400,46700,60200,82400
Fulton,"$75,400","$67,600 to $83,100",,76800,,75800,71500
Gallia,"$51,400","$44,300 to $58,600",,,31600,125300,55800
Geauga,"$101,600","$91,800 to $111,500",,147300,66500,125200,97400
Greene,"$82,800","$75,400 to $90,200",,142500,61000,89900,82300
Guernsey,"$56,000","$50,700 to $61,300",,97100,116000,,53500
Hamilton,"$67,000","$64,300 to $69,700",41400,92200,39200,54900,83000
Hancock,"$72,700","$64,500 to $80,800",,83700,59200,52200,67900
Hardin,"$58,800","$54,100 to $63,600",195700,,,,56100
Harrison,"$55,100","$47,400 to $62,900",,,,47500,56300
Henry,"$72,100","$62,800 to $81,400",,,,75900,71700
Highland,"$59,500","$53,500 to $65,400",,,,96000,61100
Hocking,"$57,400","$50,300 to $64,400",,,63300,16900,59500
Holmes,"$75,200","$66,700 to $83,700",,,,,
Huron,"$61,500","$56,400 to $66,600",,,94900,50800,64800
Jackson,"$54,900","$49,000 to $60,700",,,10600,,57200
Jefferson,"$54,300","$48,800 to $59,700",,110200,26900,20000,55900
Knox,"$68,300","$59,400 to $77,200",,57900,,85100,71900
Lake,"$76,200","$69,900 to $82,400",56600,95900,48800,73200,78400
Lawrence,"$51,100","$45,800 to $56,300",50300,103300,70900,88200,51400
Licking,"$76,600","$71,600 to $81,600",,85600,91000,83500,77900
Logan,"$62,400","$57,500 to $67,300",,,,93800,69500
Lorain,"$67,100","$63,300 to $71,000",46500,72200,34300,46500,73700
Lucas,"$58,000","$55,300 to $60,700",50300,64200,34200,48800,67700
Madison,"$78,500","$71,900 to $85,200",,96100,48100,58700,78100
Mahoning,"$54,800","$51,600 to $58,000",26600,95200,28500,42500,61700
Marion,"$59,000","$51,300 to $66,800",11300,,40900,,56400
Medina,"$89,100","$82,700 to $95,500",48000,96900,69400,94300,89900
Meigs,"$46,400","$40,500 to $52,300",,,21700,,46700
Mercer,"$72,100","$65,800 to $78,400",,,,46400,74600
Miami,"$72,900","$65,500 to $80,300",,117100,59100,75300,71600
Monroe,"$56,400","$49,600 to $63,200",,,,,
Montgomery,"$62,800","$59,900 to $65,700",,87100,40500,51200,69400
Morgan,"$58,800","$55,200 to $62,500",,,53300,16400,52400
Morrow,"$71,800","$64,200 to $79,400",,,,,
Muskingum,"$58,800","$53,100 to $64,500",,,45700,,57000
Noble,"$57,100","$49,300 to $64,800",,,,,
Ottawa,"$72,800","$64,100 to $81,500",,120500,,68000,70100
Paulding,"$66,300","$59,800 to $72,800",,,60300,81500,64800
Perry,"$60,400","$54,200 to $66,700",,,,97900,62400
Pickaway,"$75,900","$66,400 to $85,500",,,,,
Pike,"$55,000","$47,500 to $62,500",,,,,
Portage,"$73,000","$65,700 to $80,300",90600,,40200,42800,73500
Preble,"$67,600","$60,700 to $74,500",,103800,,47300,66500
Putnam,"$81,800","$74,000 to $89,600",,,,63800,81900
Richland,"$54,900","$50,000 to $59,900",41600,,28000,,58900
Ross,"$60,400","$56,100 to $64,600",16200,,42200,42900,59300
Sandusky,"$62,500","$57,300 to $67,600",110500,110400,33400,51100,63200
Scioto,"$48,500","$43,100 to $53,800",105700,81000,,56800,46100
Seneca,"$63,200","$60,100 to $66,300",54200,,31200,63400,63100
Shelby,"$72,500","$64,900 to $80,100",24800,,,69200,74700
Stark,"$64,600","$61,300 to $67,800",91300,82600,34300,41600,67700
Summit,"$66,000","$63,100 to $69,000",,87900,38200,60300,74300
Trumbull,"$54,400","$50,000 to $58,800",,67700,32200,66600,56300
Tuscarawas,"$59,600","$55,100 to $64,200",,103100,36700,,62800
Union,"$104,500","$94,900 to $114,100",155600,212500,82800,82800,102200
Van Wert,"$59,400","$53,200 to $65,500",,,147900,64100,65200
Vinton,"$51,000","$44,000 to $58,000",,,,,
Warren,"$104,500","$99,700 to $109,400",29200,142900,94500,123800,100300
Washington,"$59,200","$53,500 to $64,900",21500,88200,38400,81500,59200
Wayne,"$70,100","$65,000 to $75,200",12900,81400,61300,59700,70600
Williams,"$61,000","$55,300 to $66,700",,74500,,59900,60900
Wood,"$67,300","$62,400 to $72,100",,114400,50200,62200,71700
Wyandot,"$65,600","$57,000 to $74,300",,,,82000,67900